Model,True,Predicted,Value
YOLOv8,early,early,0.7365091598087268
YOLOv8,early,healthy,0.026127953935632855
YOLOv8,early,obvious,0.19524108855965694
YOLOv8,early,severe,0.04212179769598345
YOLOv8,healthy,early,0.018597748223366056
YOLOv8,healthy,healthy,0.97399461259596
YOLOv8,healthy,obvious,0.00030946677624949214
YOLOv8,healthy,severe,0.007098172404424469
YOLOv8,obvious,early,0.14708911143023984
YOLOv8,obvious,healthy,0.09564596513638708
YOLOv8,obvious,obvious,0.7017247637676243
YOLOv8,obvious,severe,0.0555401596657488
YOLOv8,severe,early,0.016389435440124445
YOLOv8,severe,healthy,0.04552079314886544
YOLOv8,severe,obvious,0.0003213499534958579
YOLOv8,severe,severe,0.9377684214575143
YOLOv9,early,early,0.4724485296378602
YOLOv9,early,healthy,0.353738125976921
YOLOv9,early,obvious,0.076940630028912
YOLOv9,early,severe,0.09687271435630668
YOLOv9,healthy,early,0.03243397396372539
YOLOv9,healthy,healthy,0.8943452530292
YOLOv9,healthy,obvious,0.014829012708923162
YOLOv9,healthy,severe,0.05839176029815144
YOLOv9,obvious,early,0.022210122457514702
YOLOv9,obvious,healthy,0.03397269819695404
YOLOv9,obvious,obvious,0.49828864016524754
YOLOv9,obvious,severe,0.4455285391802837
YOLOv9,severe,early,0.0
YOLOv9,severe,healthy,0.0
YOLOv9,severe,obvious,0.0
YOLOv9,severe,severe,1.0
YOLOv10,early,early,0.6421303688015012
YOLOv10,early,healthy,0.04095364633861169
YOLOv10,early,obvious,0.04942275252793356
YOLOv10,early,severe,0.26749323233195355
YOLOv10,healthy,early,0.04380416096774494
YOLOv10,healthy,healthy,0.9100803671035493
YOLOv10,healthy,obvious,0.01659543181314001
YOLOv10,healthy,severe,0.029520040115565704
YOLOv10,obvious,early,0.20582385123672328
YOLOv10,obvious,healthy,0.03365745569276793
YOLOv10,obvious,obvious,0.6665238298136322
YOLOv10,obvious,severe,0.09399486325687656
YOLOv10,severe,early,0.002710754267248596
YOLOv10,severe,healthy,0.007134534366808973
YOLOv10,severe,obvious,0.004800196998187202
YOLOv10,severe,severe,0.9853545143677552
YOLOv11,early,early,0.629054204802841
YOLOv11,early,healthy,0.0550357988816918
YOLOv11,early,obvious,0.12307349220095307
YOLOv11,early,severe,0.19283650411451406
YOLOv11,healthy,early,0.09759954803649652
YOLOv11,healthy,healthy,0.786756754651238
YOLOv11,healthy,obvious,0.10561816280345772
YOLOv11,healthy,severe,0.010025534508807782
YOLOv11,obvious,early,0.14252757594418713
YOLOv11,obvious,healthy,0.09938024211126235
YOLOv11,obvious,obvious,0.545030080006048
YOLOv11,obvious,severe,0.21306210193850247
YOLOv11,severe,early,0.0
YOLOv11,severe,healthy,0.0
YOLOv11,severe,obvious,0.0
YOLOv11,severe,severe,1.0
